"ID","URL","PDF","Country","Province","Date","Completion","Trial status","Design","Blinding","Arms","COVID-19 status","Patient setting","Outcome","Treatment","Size"
"NCT04399746","https://clinicaltrials.gov/show/NCT04399746",NA,"Mexico","Mexico","2020-May",NA,"Recruiting","Non-Randomised","Open-Label",2,"Confirmed","Outpatient","Viral Load or Clearance","AZT + Ivermectin + Vitamins, SOC",30
"ACTRN12620000612910","https://anzctr.org.au/ACTRN12620000612910.aspx",NA,"Australia","Canberra","2020-May",NA,"Not Recruiting","Randomised","Open-Label",NA,"Confirmed Or Suspected","ICU","ICU Admission, Fever, Treatment-emergent Adverse Events, Blood Gas, PaO2-FiO2","SOC, Stem cells",24
"NCT04445311","https://clinicaltrials.gov/show/NCT04445311",NA,"Egypt","Cairo","2020-Jun",NA,"Recruiting","Randomised","Open-Label",2,"Confirmed","Outpatient",NA,"Ivermectin, SOC",100
"NCT04445246","https://clinicaltrials.gov/show/NCT04445246",NA,"Qatar","Doha","2020-Sep",NA,"Recruiting","Single-Arm","Open-Label",1,"Suspected Or Confirmed","ICU",NA,"Vasodilators",40
"NCT04445337","https://clinicaltrials.gov/show/NCT04445337",NA,"United States","Nebraska","2020-Sep",NA,"Not Recruiting","Single-Arm","Open-Label",1,"Confirmed","ICU","Pneumonia or ARDS","Other",10
"NCT04445389","https://clinicaltrials.gov/show/NCT04445389",NA,"South Korea","Seoul","2020-Jun",NA,"Recruiting","Randomised","Double",1,"Healthy","Healthy Unexposed","Serious Adverse Events","SOC, Vaccine",190
"NCT04445428","https://clinicaltrials.gov/show/NCT04445428",NA,"Guinea-Bissau","Bissau","2020-Jun",NA,"Not Recruiting","Randomised","Double",1,"Healthy","Healthy Unexposed","Mortality","SOC, Vaccine",3400
"NCT04445467","https://clinicaltrials.gov/show/NCT04445467",NA,"Australia","Victoria","2020-Jun",NA,"Not Recruiting","Randomised","Quadruple",2,"Confirmed","Outpatient, Hospital",NA,"FPV, SOC",190
"NCT04445623","https://clinicaltrials.gov/show/NCT04445623",NA,"Italy","Rome","2020-Apr",NA,"Not Recruiting","Randomised","Double",1,"Confirmed","Hospital","PaO2-FiO2","Antiplatelet, SOC",128
"NCT04447534","https://clinicaltrials.gov/show/NCT04447534",NA,"Egypt","Cairo","2020-Jun",NA,"Recruiting","Randomised","Double",1,"Confirmed","Unclear",NA,"HCQ, HCQ + Zinc",200
"ACTRN12620000707965","https://anzctr.org.au/ACTRN12620000707965.aspx",NA,"Australia","Canberra","2020-Jun",NA,"Not Recruiting","Randomised","Double",NA,"Healthy","Healthy Unexposed, Healthy Exposed, Healthcare Workers",NA,"SOC, Vaccine",3468
"ISRCTN15281137","http://isrctn.com/ISRCTN15281137",NA,"United Kingdom","London","2020-Jun",NA,"Recruiting","Randomised","Unspecified",NA,"Healthy","Healthy Unexposed","Serious Adverse Events","SOC, Vaccine",1112
"NL8633","https://trialregister.nl/trial/8633",NA,"Netherlands","Amsterdam","2020-May",NA,"Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","Plasma based therapy, SOC",430
"EUCTR2020-001673-75-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001673-75",NA,"France","Paris","2020-Apr",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Outpatient","Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, SpO2","Other, SOC",1034
"EUCTR2020-001673-75-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001673-75",NA,"Spain","Madrid","2020-Apr",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Outpatient","Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, SpO2","Other, SOC",1034
"EUCTR2020-001673-75-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001673-75",NA,"Brazil","Brasilia","2020-Apr",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Outpatient","Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, SpO2","Other, SOC",1034
"EUCTR2020-001673-75-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001673-75",NA,"Belgium","Brussels","2020-Apr",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Outpatient","Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, SpO2","Other, SOC",1034
"EUCTR2020-001673-75-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001673-75",NA,"Netherlands","Amsterdam","2020-Apr",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Outpatient","Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, SpO2","Other, SOC",1034
"EUCTR2020-001673-75-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001673-75",NA,"Germany","Berlin","2020-Apr",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Outpatient","Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, SpO2","Other, SOC",1034
"EUCTR2020-001673-75-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001673-75",NA,"Italy","Rome","2020-Apr",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Outpatient","Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, SpO2","Other, SOC",1034
"EUCTR2020-001673-75-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001673-75",NA,"United Kingdom","London","2020-Apr",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Outpatient","Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, SpO2","Other, SOC",1034
"NCT04442958","https://clinicaltrials.gov/show/NCT04442958",NA,"Turkey","Ankara","2020-Jun",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","ICU","C-Reactive Protein, Ferritin, Lymphocyte Count, D-Dimer, Procalcitonin, Fibrinogen","Plasma based therapy, SOC",60
"NCT04451239","https://clinicaltrials.gov/show/NCT04451239",NA,"Kuwait","Kuwait City","2020-Jun",NA,"Not Recruiting","Single-Arm","Open-Label",1,"Confirmed","Outpatient",NA,"Cyclosporin + Steroids",12
"NCT04452097","https://clinicaltrials.gov/show/NCT04452097",NA,"United States","California","2020-Jun",NA,"Not Recruiting","Non-Randomised","Open-Label",2,"Confirmed","ICU","Treatment-emergent Adverse Events, Serious Adverse Events","Stem cells",9
"NCT04453371","https://clinicaltrials.gov/show/NCT04453371",NA,"Russia","Moscow","2020-Jun",NA,"Not Recruiting","Randomised","Double",1,"Confirmed","Hospital","Pneumonia or ARDS, PaO2-FiO2","Other, SOC",50
"NCT04453384","https://clinicaltrials.gov/show/NCT04453384",NA,"France","Paris","2020-Jun",NA,"Not Recruiting","Randomised","Quadruple",1,"Confirmed","Hospital","Non-invasive Ventilation, Adverse Events, Antibodies","other, SOC",368
"NCT04453488","https://clinicaltrials.gov/show/NCT04453488",NA,"Spain","Madrid","2020-Jun",NA,"Not Recruiting","Randomised","Quadruple",1,"Healthy","Healthcare Workers",NA,"SOC, Vaccine",315
"NCT04460443","https://clinicaltrials.gov/show/NCT04460443",NA,"Egypt","Cairo","2020-Apr",NA,"Not Recruiting","Randomised","Open-Label",1,"Confirmed","Unclear",NA,"DAA, DAA + Antiviral, SOC",60
"NCT04399252","https://clinicaltrials.gov/show/NCT04399252",NA,"United States","Washington, Dc","2020-May",NA,"Recruiting","Randomised","Triple",1,"Healthy","Healthy Exposed",NA,"Nutrition, SOC",1000
"ISRCTN99916292","http://isrctn.com/ISRCTN99916292",NA,"Cameroon","Yaounde","2020-May",NA,"Recruiting","Randomised","Unspecified",NA,"Healthy","Healthcare Workers","Cough, Fever, Dyspnea, Other Mild Symptoms","HCQ, SOC",30000
"ISRCTN99916292","http://isrctn.com/ISRCTN99916292",NA,"Canada","Ottawa","2020-May",NA,"Recruiting","Randomised","Unspecified",NA,"Healthy","Healthcare Workers","Cough, Fever, Dyspnea, Other Mild Symptoms","HCQ, SOC",30000
"ISRCTN99916292","http://isrctn.com/ISRCTN99916292",NA,"Ghana","Accra","2020-May",NA,"Recruiting","Randomised","Unspecified",NA,"Healthy","Healthcare Workers","Cough, Fever, Dyspnea, Other Mild Symptoms","HCQ, SOC",30000
"ISRCTN99916292","http://isrctn.com/ISRCTN99916292",NA,"Ireland","Dublin","2020-May",NA,"Recruiting","Randomised","Unspecified",NA,"Healthy","Healthcare Workers","Cough, Fever, Dyspnea, Other Mild Symptoms","HCQ, SOC",30000
"ISRCTN99916292","http://isrctn.com/ISRCTN99916292",NA,"Peru","Lima","2020-May",NA,"Recruiting","Randomised","Unspecified",NA,"Healthy","Healthcare Workers","Cough, Fever, Dyspnea, Other Mild Symptoms","HCQ, SOC",30000
"ISRCTN99916292","http://isrctn.com/ISRCTN99916292",NA,"South Africa","Pretoria","2020-May",NA,"Recruiting","Randomised","Unspecified",NA,"Healthy","Healthcare Workers","Cough, Fever, Dyspnea, Other Mild Symptoms","HCQ, SOC",30000
"ISRCTN99916292","http://isrctn.com/ISRCTN99916292",NA,"Uganda","Kampala","2020-May",NA,"Recruiting","Randomised","Unspecified",NA,"Healthy","Healthcare Workers","Cough, Fever, Dyspnea, Other Mild Symptoms","HCQ, SOC",30000
"ISRCTN99916292","http://isrctn.com/ISRCTN99916292",NA,"United Kingdom","London","2020-May",NA,"Recruiting","Randomised","Unspecified",NA,"Healthy","Healthcare Workers","Cough, Fever, Dyspnea, Other Mild Symptoms","HCQ, SOC",30000
"ISRCTN99916292","http://isrctn.com/ISRCTN99916292",NA,"United States","Washington, Dc","2020-May",NA,"Recruiting","Randomised","Unspecified",NA,"Healthy","Healthcare Workers","Cough, Fever, Dyspnea, Other Mild Symptoms","HCQ, SOC",30000
"ISRCTN99916292","http://isrctn.com/ISRCTN99916292",NA,"Zambia","Lusaka","2020-May",NA,"Recruiting","Randomised","Unspecified",NA,"Healthy","Healthcare Workers","Cough, Fever, Dyspnea, Other Mild Symptoms","HCQ, SOC",30000
"ISRCTN99916292","http://isrctn.com/ISRCTN99916292",NA,"Zimbabwe","Harare","2020-May",NA,"Recruiting","Randomised","Unspecified",NA,"Healthy","Healthcare Workers","Cough, Fever, Dyspnea, Other Mild Symptoms","HCQ, SOC",30000
"IRCT20200508047345N1","http://en.irct.ir/trial/47987",NA,"Iran","Tehran","2020-Jun","2020-Jun","Completed","Unspecified","Open-Label",2,"Confirmed","Outpatient","SpO2","Alternative therapy",100
"IRCT20200506047323N2","http://en.irct.ir/trial/47990",NA,"Iran","Tehran","2020-May","2020-Aug","Recruiting","Randomised","Open-Label",2,"Confirmed","Hospital","Serious Adverse Events, SpO2","HCQ, HCQ + Alternative therapy",60
"IRCT20150716023235N15","http://en.irct.ir/trial/48019",NA,"Iran","Razavi Khorasan","2020-May","2020-Jul","Recruiting","Randomised","Single",2,"Confirmed","Hospital","IL-6","HCQ + AZT + NSAIDs, HCQ + AZT + NSAIDs + Hormone therapy",80
"IRCT20180923041093N6","http://en.irct.ir/trial/47974",NA,"Iran","Tehran","2020-Jun","2020-Jun","Completed","Randomised","Open-Label",2,"Confirmed","Hospital","Radiographic Findings","Alternative therapy, SOC",60
"IRCT20200209046427N1","http://en.irct.ir/trial/47504",NA,"Iran","Tehran","2020-Jun","2020-Jun","Completed","Randomised","Open-Label",2,"Confirmed","Hospital","Hospitalization, C-Reactive Protein","Alterantive therapy, SOC",60
"IRCT20200411047016N1","http://en.irct.ir/trial/47044",NA,"Iran","Tehran","2020-May","2020-Jun","Completed","Randomised","Double",2,"Confirmed","Hospital","Hospitalization, SpO2","Alternative therapy, SOC",150
"IRCT20080901001165N59","http://en.irct.ir/trial/47477",NA,"Iran","Tehran","2020-May","2020-Jul","Recruiting","Randomised","Open-Label",2,"Confirmed","Hospital","Fever","Hygiene, SOC",80
"IRCT20200314046774N1","http://en.irct.ir/trial/46519",NA,"Iran","Qom","2020-Jun","2020-Jun","Completed","Randomised","Triple",2,"Confirmed","Hospital","Radiographic Findings","SOC, Vitamins",94
"IRCT20200405046951N1","http://en.irct.ir/trial/47722",NA,"Iran","Tehran","2020-Jun","2020-Aug","Recruiting","Randomised","Open-Label",2,"Confirmed","Hospital","SpO2","SOC, Vitamins",120
"IRCT20081027001411N3","http://en.irct.ir/trial/46975",NA,"Iran","Tehran","2020-Jun","2020-Jun","Completed","Randomised","Single",2,"Confirmed","Hospital","Troponin","Corticosteroids, SOC",60
"IRCT20200504047298N2","http://en.irct.ir/trial/47675",NA,"Iran","Alborz","2020-Jun","2020-Jul","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Cough, Fever, Dyspnea, Other Mild Symptoms","Alterantive therapy",48
"EUCTR2020-001411-25-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25",NA,"United States","Washington, Dc","2020-Jun",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","Other, SOC",300
"EUCTR2020-001411-25-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25",NA,"Spain","Madrid","2020-Jun",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","Other, SOC",300
"EUCTR2020-001411-25-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25",NA,"Austria","Vienna","2020-Jun",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","Other, SOC",300
"EUCTR2020-001411-25-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25",NA,"Israel","Jerusalem","2020-Jun",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","Other, SOC",300
"EUCTR2020-001411-25-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25",NA,"United Kingdom","London","2020-Jun",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","Other, SOC",300
"EUCTR2020-001411-25-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25",NA,"Italy","Rome","2020-Jun",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","Other, SOC",300
"EUCTR2020-001411-25-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25",NA,"India","New Delhi","2020-Jun",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","Other, SOC",300
"EUCTR2020-001411-25-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25",NA,"France","Paris","2020-Jun",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","Other, SOC",300
"EUCTR2020-001411-25-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25",NA,"Canada","Ottawa","2020-Jun",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","Other, SOC",300
"EUCTR2020-001411-25-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25",NA,"Belgium","Brussels","2020-Jun",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","Other, SOC",300
"EUCTR2020-001411-25-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25",NA,"Malaysia","Kuala Lumpur","2020-Jun",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","Other, SOC",300
"EUCTR2020-001411-25-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25",NA,"Australia","Canberra","2020-Jun",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","Other, SOC",300
"EUCTR2020-001411-25-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25",NA,"Germany","Berlin","2020-Jun",NA,"Not Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","Other, SOC",300
"IRCT20150303021315N19","http://en.irct.ir/trial/47335",NA,"Iran","Tehran","2020-May","2020-Nov","Recruiting","Single-Arm","Open-Label",1,"Confirmed","Hospital","Mortality, Dyspnea","mAb",62
"IRCT20150107020592N25","http://en.irct.ir/trial/47666",NA,"Iran","Tehran","2020-Jun","2020-May","Completed","Single-Arm","Open-Label",1,"Confirmed","ICU",NA,"Positioning",30
"IRCT20091201002804N12","http://en.irct.ir/trial/46983",NA,"Iran","Tehran","2020-Jun","2020-Jun","Completed","Randomised","Triple",2,"Confirmed","ICU","Mortality, ICU Admission, Invasive Mechanical Ventilation or ECMO","Other, SOC",60
"IRCT20190727044343N3","http://en.irct.ir/trial/47062",NA,"Iran","Tehran","2020-Jun","2020-Jun","Completed","Randomised","Double",2,"Confirmed","Unclear","C-Reactive Protein, IL-6, Radiographic Findings","Antivirals, Vitamins",60
"IRCT20200503047280N1","http://en.irct.ir/trial/47704",NA,"Iran","East Azarbaijan","2020-Jun","2020-Jul","Completed","Randomised","Triple",3,"Healthy","Healthy Exposed",NA,"Alterantive therapy, SOC",300
"CHICTR2000030937","http://www.chictr.org.cn/showproj.aspx?proj=51240",NA,"China","Guangdong","2020-Mar","2020-Aug","Recruiting","Randomised","Open-Label",2,"Resolved","Resolved Discharged","Other Mild Symptoms","SOC, TCM",144
"CHICTR2000030751","http://www.chictr.org.cn/showproj.aspx?proj=50941",NA,"China","Inner Mongol","2020-Mar","2020-Dec","Not Recruiting","Single-Arm","Unspecified",1,"Confirmed","Unclear","Viral Load or Clearance, White Blood Cell Count, Monocyte Count, Natural Killer Cell Count, Neutrophils, Creatinine Phosphokinase, CK-MB, eGFR, ALT, Albumin, Bilirubin, Urine Sample, Radiographic Findings","TCM",60
"NCT04433013","https://ClinicalTrials.gov/show/NCT04433013",NA,"Singapore","Singapore","2020-Jun","2020-Dec","Not Recruiting","Randomised","Triple",2,"Confirmed","Unclear","Other Mild Symptoms","SOC, TCM",300
"JPRN-JRCTS041190120","https://jrct.niph.go.jp/latest-detail/jRCTs041190120",NA,"Japan","Aichi","2020-Feb",NA,"Not Recruiting","Randomised","Open-Label",2,"Confirmed","Outpatient","Viral Load or Clearance","FPV, SOC",86
"NCT04347226","https://ClinicalTrials.gov/show/NCT04347226",NA,"United States","New York","2020-Apr","2021-Sep","Recruiting","Randomised","Open-Label",2,NA,"Hospital","Mortality, ICU Admission, Clinical Improvement Score (Any)","mAb, SOC",138
"RPCEC00000306","https://rpcec.sld.cu/en/trials/RPCEC00000306-En",NA,"Cuba","Havana","2020-Apr",NA,"Recruiting","Randomised","Unspecified",2,NA,"Healthy Exposed","Viral Load or Clearance, Adverse Events, Serious Adverse Events, C-Reactive Protein, IL-6, Tumor Necrosis Factor (Any), Interferon (Any), Prothrombin, Triglycerides, ALT, Albumin, Bilirubin, Glucose","SOC, Vaccine",80
"CHICTR2000029461","http://www.chictr.org.cn/showproj.aspx?proj=48927",NA,"China","Hubei","2020-Feb","2021-Dec","Not Recruiting","Randomised","Unspecified",2,"Confirmed","Outpatient","Viral Load or Clearance, Cough, Fever, Adverse Events, 6-Minute Walking Distance, Quality of Life","SOC, TCM",100
"CHICTR2000030043","http://www.chictr.org.cn/showproj.aspx?proj=49866",NA,"China","Beijing","2020-Feb","2020-Dec","Not Recruiting","Randomised","Open-Label",2,"Confirmed Or Suspected","Hospital","ICU Admission, Clinical Improvement Score (Any), Viral Load or Clearance, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)","SOC, TCM",300
"NCT04278963","https://clinicaltrials.gov/show/NCT04278963",NA,"China","Beijing","2020-Feb",NA,"Not Recruiting","Randomised","Double",3,"Confirmed","Hospital",NA,"TCM",300
"CHICTR2000029381","http://www.chictr.org.cn/showproj.aspx?proj=48768",NA,"China","Guangdong","2020-Jan",NA,"Not Recruiting","Non-Randomised","Unspecified",2,"Confirmed","Hospital","ICU Admission, Hospitalization, Viral Load or Clearance, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), C-Reactive Protein, White Blood Cell Count, Creatinine Phosphokinase, CK-MB, eGFR, Myoglobin, Troponin, ALT, Albumin, Bilirubin, IgG, IgM or IgA, PaO2-FiO2, Respiratory Rate, Radiographic Findings","SOC, TCM",400
"NCT04354831","https://ClinicalTrials.gov/show/NCT04354831",NA,"United States","Wisconsin","2020-Apr","2022-May","Recruiting","Non-Randomised","Open-Label",2,NA,"Hospital, ICU","Mortality, ICU Admission","Plasma based therapy",131
"IRCT20200417047113N1","http://en.irct.ir/trial/47264",NA,"Iran","Tehran","2020-Apr","2020-Dec","Recruiting","Randomised","Double",7,NA,"Hospital","Cough, Respiratory Rate, Lung Inflamation","Natural Killer Cells, SOC",70
"NCT04382625","https://ClinicalTrials.gov/show/NCT04382625",NA,"United States","Idaho","2020-May","2022-Jan","Not Recruiting","Randomised","Open-Label",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, Cardiac Outcome (Unspecified)","HCQ, SOC",120
